CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	SYN_ENG_THIEF	LEX_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_ENG_GOODS	LEX_ENG_GOODS	ANIMACY_ENG_GOODS	SYN_ENG_GOODS	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_IDN_GOODS	LEX_IDN_GOODS	ANIMACY_IDN_GOODS	SYN_IDN_GOODS	N_WORD_ENG	N_WORD_IDN
20	I think it's a miracle she's not	robbing	banks with the Symbionese Liberation Army.	Aku pikir adalah sebuah keajaiban dia tidak merampok Bank Dengan kelompok Symbionese Liberation Army.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	she	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	dia	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	16	14
23	And all I was doing was	robbing	Clem of whatever life she was gonna have left.	Dan yang aku lakukan adalah merampas Clem dari kehidupan apapun yang akan dia tinggalkan	NA	merampas	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	AV_gr_subj_in_RelCl	I	animate	TRUE	direct_object	Clem	victim	animate	TRUE	life	inanimate	PP_complement	TRUE	AV_gr_subj_in_RelCl	aku	animate	TRUE	direct_object	Clem	victim	animate	TRUE	kehidupan	inanimate	PP_complement	16	14
25	Somebody's	robbing	from us?	Seseorang merampas uang kami?	NA	merampas	TARGET-PP	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	somebody	animate	TRUE	PP_complement	us	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	seseorang	animate	TRUE	possessive_determiner	kami	victim	animate	TRUE	uang	inanimate	direct_object	5	4
26	He thinks the blockade is a figment of my imagination, and that I'm somehow deliberately	robbing	him of glory.	Dia pikir blokade adalah bagian dari imajinasi gue , dan bahwa gue entah bagaimana sengaja merampok kemuliaan .	NA	merampok	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	animate	TRUE	direct_object	him	victim	animate	TRUE	glory	inanimate	PP_complement	TRUE	AV_gr_subj	gue	animate	FALSE	direct_object	NA	NA	NA	TRUE	kemuliaan	inanimate	direct_object	20	16
29	Yo, I'm not	robbing	no banks with you guys, all right?	Yo, aku tak akan merampok bank bersama kalian, oke?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	aku	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	12	9
38	We	robbing	the bank.	Kami merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	AV_gr_subj	we	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	kami	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	4	3
47	"""""""- Are you"""	robbing	us?	"""""""- Apakah Anda merampok kami?"""	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	animate	TRUE	direct_object	us	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	Anda	animate	TRUE	direct_object	kami	victim	animate	FALSE	NA	NA	NA	4	4
48	I want the guy who's	robbing	us.	Aku menginginkan orang yg merampok kami.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj_in_RelCl	guy	animate	TRUE	direct_object	us	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	orang	animate	TRUE	direct_object	kami	victim	animate	FALSE	NA	NA	NA	8	6
53	I got	robbed	, and you need to cancel the emergency credit card.	Saya dirampok , dan Anda perlu untuk membatalkan kartu kredit darurat .	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	saya	victim	animate	FALSE	NA	NA	NA	12	10
55	And the guy you	robbed	, I know told you he was.	Dan cowok yang dirampok, Aku tahu bilang dia.	NA	dirampok	TARGET-OBJ	TARGET-SUBJ-PASS	verb	AV	PASS	declarative	TRUE	TRUE	AV_gr_subj	you	animate	TRUE	direct_object	guy	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	cowok	victim	animate	FALSE	NA	NA	NA	11	8
56	You could've	robbed	, stolen, cheated.. anything.	Kau bisa saja merampok, mencuri, mencurangi.. semuanya.	NA	merampok	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	TRUE	AV_gr_subj	kau	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	7	7
57	The bank's been	robbed	""", the town is dry """"We'll die of thirst,"""" the people cry"""	"""Bank dirampok, kota jadi kering """"Kami mati kehausan,"""" jeritan warga"""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	FALSE	NA	NA	NA	17	10
58	I got	robbed	!	Aku dicopet!	NA	dicopet	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	3	2
60	All this happened because you were afraid you were gonna be	robbed	?	Jadi semua ini terjadi karena kau takut dirampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	you	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kau	victim	animate	FALSE	NA	NA	NA	12	8
62	What if we can rip off that train, and no one ever knows it got	robbed	?	Bagaimana jika kita bisa rampok kereta itu, dan tidak ada yang pernah tahu pernah dirampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	it	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kereta	source	inanimate	FALSE	NA	NA	NA	16	15
64	When did you get	robbed	?	"""""""- Kapan kau dirampok?"""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	you	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kau	victim	animate	FALSE	NA	NA	NA	5	3
66	"""""""- I got"""	robbed	.	/ Aku dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	3	2
71	Blagged,	robbed	.	Dipatil, Dirampok.	NA	dirampok	NA	NA	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	2	2
72	"""""""- You think you'll get"""	robbed	.	/ Kau panik. Kau mengira akan dirampok./ Siapa yang merampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	you	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kau	victim	animate	FALSE	NA	NA	NA	6	9
73	A bank has been	robbed	.	Bank telah dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	FALSE	NA	NA	NA	5	3
77	Well, if you must know, I was	robbed	.	Kalau kau mau tahu, aku dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	8	6
78	"""""""-I got"""	robbed	.	"""""""- Aku dirampok."""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	3	2
79	"""""""- The bank with your money was"""	robbed	.	"""""""- Bank yang menyimpan uang mu dirampok."""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	TRUE	money	inanimate	PP_complement	FALSE	NA	NA	NA	TRUE	passive_subject	bank	source	inanimate	TRUE	uang	inanimate	direct_object_in_RelClause	7	6
80	Half the folks I talked to don't even remember being	robbed	.	Setengah orang-orang yg ku tanyakan bahkan tidak ingat dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	TRUE	passive_subject	folks	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	orang	victim	animate	FALSE	NA	NA	NA	12	9
82	Perhaps it is because I'm expecting to be	robbed	.	Karena aku berharap untuk dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	10	5
84	Wait one week. I got	robbed	.	Beri aku waktu seminggu, rumahku kemalingan.	NA	kemalingan	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	rumah	source	inanimate	FALSE	NA	NA	NA	6	6
85	I'm saying we were	robbed	.	Saya bilang kita dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	we	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kita	victim	animate	FALSE	NA	NA	NA	6	4
86	Yesterday Big Belly Burger got	robbed	.	Kemarin, Big Belly Burger dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	Big Belly Burger	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	Big Belly Burger	source	inanimate	FALSE	NA	NA	NA	6	5
90	We kind of got	robbed	...	Kita baru saja dirampok ...	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	we	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	kita	victim	animate	FALSE	NA	NA	NA	5	4
92	"""Listen to this. """"A pair of Mafia social clubs have been"""	robbed	~	"""Dengarkan ini. """"Sepasang Mafia klub sosial telah dirampok"""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	social clubs	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	klub sosial	source	inanimate	FALSE	NA	NA	NA	12	8
93	The same hour that three elderly gentlemen	robbed	2.3 million dollars from the Williamsburg Savings Bank.	Saat yang sama bahwa tiga pria tua Mereka mencuri $ 2,3 juta Williamsburg Bank Tabungan.	NA	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	gentlemen	animate	TRUE	PP_complement	bank	source	inanimate	TRUE	N dollars	inanimate	direct_object	TRUE	AV_gr_subj	mereka	animate	TRUE	nominal_modifier	bank	source	inanimate	TRUE	N dollars	inanimate	direct_object	17	14
97	Two nights ago in Vegas, The Horsemen seemingly	robbed	a bank in Paris...	2 hari lalu di Vegas , Para Pesulap ini merampok bank di Paris...	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	The Horsemen	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	Para Pesulap	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	13	12
98	Two years ago, he	robbed	a bank, popped a guard and the bank manager and walked out with two million in cash and bearer bonds.	dua tahun yang lalu, dia merampok bank, menyandra penjaga dan manager bank dan berjalan keluar dengan dua juta langsung dan surat obligasi.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	dia	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	25	22
99	You just	robbed	a bank!	Kau baru saja merampok bank!	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	kau	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	5	5
103	Someone matching Cole's description just	robbed	a drugstore.	Ada yang mencocokkan deskripsi Cole yang baru saja merampok toko obat di Queens.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	someone	animate	TRUE	direct_object	drugstore	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	Cole	animate	TRUE	direct_object	toko	source	inanimate	FALSE	NA	NA	NA	9	13
104	I	robbed	a gas station with a toy gun.	Aku merampok SPBU dengan pistol mainan.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	animate	TRUE	direct_object	gas station	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	aku	animate	TRUE	direct_object	SPBU	source	inanimate	FALSE	NA	NA	NA	9	6
105	They say he	robbed	a liquor store, but he didn't.	Mereka bilang dia merampok toko miras, tapi tidak.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	animate	TRUE	direct_object	liquor store	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	dia	animate	TRUE	direct_object	toko	source	inanimate	FALSE	NA	NA	NA	11	8
106	We think he	robbed	a mail hack Tuesday down on the Poteau River.	Kami menduga dia merampok pengantar surat di Poteau River.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	animate	TRUE	direct_object	mail hack	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	dia	animate	TRUE	direct_object	pengantar surat	victim	animate	FALSE	NA	NA	NA	13	9
109	After doing time for robbery, before three years passed, he	robbed	again.	Setelah melakukan pencurian, sebelum tiga tahun berlalu, dia mencuri lagi.	NA	mencuri	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	TRUE	AV_gr_subj	dia	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	12	10
110	After they have	robbed	all the rich men, they will turn to the county government offices.	Setelah mereka merampok orang kaya, mereka akan beralih ke kantor-kantor pemerintah kabupaten .	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	they	animate	TRUE	direct_object	men	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	mereka	animate	TRUE	direct_object	orang	victim	animate	FALSE	NA	NA	NA	16	12
112	My son	robbed	and killed Zeke, as you know.	Putraku merampok dan membunuh Zeke, kau tahu itu.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	my son	animate	TRUE	direct_object	Zeke	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	putraku	animate	TRUE	direct_object	Zeke	victim	animate	FALSE	NA	NA	NA	9	8
115	Well, all I know is there's a diner being	robbed	and your brother's in the thick of it.	aku tahu disana ada restoran ya dirampok. dan saudaramu ada didalamnya.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	TRUE	passive_subject	diner	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	restoran	source	inanimate	FALSE	NA	NA	NA	20	11
120	You	robbed	her? We realized our mistake, and we returned her necklace.	Kau merampoknya? jadi kami sudah kembalikan kalungnya.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	animate	TRUE	direct_object	her	victim	animate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	kau	animate	TRUE	encliticised_direct_object	-nya	victim	animate	FALSE	NA	NA	NA	12	7
121	I'm being	robbed	here!	Aku dirampok disini!	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	5	3
122	Look, instead he's dead, and someone	robbed	him of what's ours... much better.	Tapi dia mati dan ada yang merampok... benda milik kita, itu jauh lebih baik.	NA	merampok	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	someone	animate	TRUE	direct_object	him	victim	animate	TRUE	what's ours	inanimate	PP_complement	TRUE	AV_gr_subj_in_RelCl	yang	animate	TRUE	possessive_determiner	kita	victim	animate	TRUE	benda	inanimate	direct_object	15	14
123	Rivals	robbed	his bank last year.	Saingannya mencuri uangnya tahun lalu.	NA	mencuri	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	rivals	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	saingannya	animate	TRUE	possessive_determiner	-nya	victim	animate	TRUE	uang	inanimate	direct_object	6	5
124	We	robbed	his banks and were hunted as outlaws.	{f: Verdana{s:24}{c:$FFFFFF}Mereka merampok Bank mereka, {f:	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	we	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	mereka	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	9	6
127	Exactly! I feel like I'm watching myself get	robbed	in broad daylight!	Aku merasa kerampokan di depan mataku sendiri di siang bolong!	NA	kerampokan	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	TRUE	passive_subject	I	victim	animate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	passive_subject	aku	victim	animate	FALSE	NA	NA	NA	13	10
133	You forget they	robbed	me of mine.	Kau lupa mereka mengambil pikiranku.	NA	mengambil	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	they	animate	TRUE	direct_object	me	victim	animate	TRUE	mine	inanimate	PP_complement	TRUE	AV_gr_subj	mereka	animate	TRUE	possessive_determiner	-ku	victim	animate	TRUE	pikiran	inanimate	direct_object	7	5
134	Vronsky has	robbed	me of my cloak and I will give him my coat.	Vronsky telah merampas jubahku, Aku akan memberinya mantel.	NA	merampas	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	Vronsky	animate	TRUE	direct_object	me	victim	animate	TRUE	cloak	inanimate	PP_complement	TRUE	AV_gr_subj	Vronsky	animate	TRUE	possessive_determiner	-ku	victim	animate	TRUE	jubah	inanimate	direct_object	14	8
137	"""""""- You"""	robbed	me of my prime.	"""""""- Anda merampok saya."""	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	animate	TRUE	direct_object	me	victim	animate	TRUE	prime	inanimate	PP_complement	TRUE	AV_gr_subj	Anda	animate	TRUE	direct_object	saya	victim	animate	FALSE	NA	NA	NA	6	3
